metricId,time,value
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 04:44:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 04:46:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 04:48:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 04:50:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 04:52:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 04:54:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 04:56:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 04:58:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 05:00:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 05:02:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 05:04:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 05:06:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 05:08:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 05:10:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 05:12:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 05:14:00,
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 05:16:00,
